IUCR,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,Year
1156,0,1,1,0825,008,15,66,2017
1310,0,1,1,1813,018,43,7,2017
1310,0,1,1,0433,004,10,55,2017
1153,0,1,1,2233,022,34,75,2017
1140,0,1,1,1925,019,44,6,2015
1752,0,1,1,0512,005,9,49,2014
4650,0,1,1,0213,002,3,35,2016
1153,0,1,1,0523,005,9,53,2016
1153,0,1,1,1922,019,44,6,2017
0890,0,1,1,1915,019,46,3,2017
4651,0,1,1,1531,015,37,25,2016
1153,0,1,1,0831,008,18,66,2017
0820,0,1,1,0624,006,6,69,2017
4651,0,1,1,1411,014,35,21,2017
4651,0,0,1,1522,015,29,25,2017
4651,0,1,1,0225,002,3,40,2017
0810,0,1,1,1824,018,42,8,2009
5000,0,1,1,0723,007,16,68,2017
0281,0,1,1,1413,014,26,22,2017
2826,0,1,0,0921,009,14,58,2017
0870,0,1,1,0122,001,42,32,2017
5002,0,1,1,0834,008,18,70,2017
1153,0,1,1,0324,003,5,43,2015
4651,0,1,1,0611,006,17,71,2017
0870,0,1,1,0114,001,42,32,2017
0870,0,1,1,0114,001,42,32,2017
2027,0,0,1,0925,009,3,37,2009
1752,0,1,0,0223,002,4,38,2015
0281,0,1,1,2232,022,34,73,2015
1751,0,1,0,2232,022,9,73,2013
0281,0,1,1,1233,012,2,28,2015
1153,0,1,1,0224,002,3,38,2014
1752,0,1,0,1132,011,24,26,2015
1153,0,1,1,1014,010,24,29,2014
0890,0,1,1,0834,008,13,70,2014
0810,0,1,1,0114,001,42,32,2017
0810,0,1,1,2412,024,50,2,2009
1153,0,1,1,0633,006,6,44,2014
1153,0,1,1,0423,004,7,48,2009
2014,0,0,1,1531,015,37,25,2016
2091,0,0,1,1651,016,41,76,2017
1130,0,1,1,0524,005,34,53,2015
2024,0,0,1,1523,015,28,25,2014
1153,0,1,1,0411,004,5,43,2017
0460,0,1,1,2431,024,49,1,2017
0820,0,1,1,1522,015,28,25,2017
1153,0,1,1,0214,002,4,38,2017
1582,0,1,0,0322,003,6,69,2017
1153,0,1,1,2533,025,37,25,2016
0890,0,1,1,0933,009,20,61,2018
1206,0,1,1,1434,014,1,22,2017
1153,0,1,1,2234,022,34,75,2015
2017,0,0,1,0311,003,20,40,2017
1153,0,1,1,1212,012,32,24,2015
0485,0,1,1,0412,004,8,45,2017
5001,0,1,1,2413,024,50,2,2017
0610,0,1,1,2234,022,34,75,2017
1150,0,1,1,0623,006,6,69,2017
1154,0,1,1,0222,002,4,39,2017
1754,0,1,1,2032,020,47,3,2001
1752,0,1,1,0524,005,34,53,2005
0620,0,1,1,0511,005,9,49,2017
1152,0,1,1,0234,002,4,41,2018
0870,0,1,1,0114,001,42,32,2017
0810,0,1,1,0122,001,2,32,2018
0880,0,1,1,0233,002,4,41,2017
1754,0,1,1,0812,008,13,64,2009
1155,0,1,1,1722,017,45,15,2015
0820,0,1,1,1914,019,46,3,2017
0870,0,1,1,0114,001,42,32,2017
0820,0,1,1,0114,001,42,32,2017
1150,0,1,1,1834,018,42,8,2017
0910,0,1,1,1822,018,43,8,2017
1582,0,1,1,0424,004,10,46,2017
1752,0,1,1,0923,009,14,63,2003
0820,0,1,1,0112,001,42,32,2017
0860,0,1,1,1834,018,42,8,2017
1153,0,1,1,1122,011,27,23,2012
0820,0,1,1,0114,001,42,32,2017
1121,0,1,1,1724,017,33,14,2015
1751,0,1,1,0633,006,9,49,2014
1153,0,1,1,1421,014,26,23,2015
1752,0,1,1,0731,007,6,69,2015
1562,0,1,1,1223,012,27,28,2015
1752,0,1,1,1824,018,42,8,2015
1753,0,1,1,0726,007,15,67,2015
1154,0,1,1,2431,024,49,1,2015
1153,0,1,1,0111,001,42,32,2015
1153,0,1,1,0334,003,7,43,2015
1153,0,1,1,1431,014,1,22,2008
0910,0,1,1,0414,004,8,46,2013
1153,0,1,1,2221,022,21,73,2015
1195,0,1,1,0725,007,15,67,2017
0810,0,1,1,0213,002,3,35,2017
1330,0,1,1,1122,011,27,23,2017
0820,0,1,1,0812,008,13,64,2017
0486,0,1,0,0512,005,9,49,2018
1154,0,1,1,0832,008,18,66,2017
0910,0,1,1,1211,012,26,24,2016
0281,0,1,1,1913,019,46,3,2017
0910,0,1,1,1011,010,24,29,2017
0910,0,1,1,0814,008,23,56,2015
2820,0,1,0,2532,025,37,25,2017
1153,0,1,1,0631,006,6,44,2016
5002,0,1,1,0815,008,14,57,2017
0820,0,0,1,0512,005,,,2002
0610,0,1,1,0624,006,6,69,2017
1110,0,1,1,1622,016,45,11,2017
1153,0,0,1,1915,019,46,3,2017
1153,0,1,1,0512,005,9,50,2013
1153,0,1,1,0524,005,34,53,2009
1156,0,1,1,1712,017,39,14,2014
1752,0,1,1,2233,022,34,49,2015
1154,0,1,1,2411,024,50,2,2015
1153,0,1,1,0726,007,17,67,2014
1752,0,1,1,1222,012,2,27,2015
1562,0,1,1,1034,010,25,31,2015
1780,0,1,1,1732,017,39,16,2015
1753,0,1,1,1623,016,45,11,2010
1752,0,1,1,0921,009,14,58,2015
1585,0,1,1,1111,011,37,23,2015
1562,0,1,1,2515,025,37,19,2015
0281,0,1,1,2523,025,31,21,2014
1754,0,1,0,0422,004,7,46,2016
1811,0,0,1,1623,016,45,11,2014
1752,0,1,0,2533,025,37,25,2014
0486,0,1,1,1121,011,27,23,2015
1754,0,1,0,0831,008,18,66,2015
1154,0,1,1,0631,006,6,44,2017
0890,0,1,1,0132,001,2,33,2017
0810,0,1,1,1932,019,32,7,2017
0890,0,1,1,2013,020,48,77,2017
1752,0,1,1,2533,025,37,25,2015
1754,0,1,1,2023,020,48,77,2012
1752,0,1,1,1522,015,29,25,2015
1590,0,1,1,1522,015,29,25,2015
1154,0,1,1,1824,018,42,8,2017
0890,0,1,1,1831,018,42,8,2017
0820,0,1,1,2411,024,50,2,2017
0486,0,1,0,0915,009,3,34,2017
1753,0,0,1,0823,008,13,65,2017
0281,0,1,0,0734,007,17,67,2014
0810,0,1,1,0122,001,42,32,2018
1152,0,1,1,1511,015,29,25,2017
0810,0,1,1,0331,003,5,43,2018
1153,0,1,1,1421,014,26,23,2014
0560,0,1,1,1824,018,43,8,2017
1153,0,1,1,2213,022,19,72,2015
1153,0,1,1,1723,017,33,14,2015
0281,0,1,1,1633,016,38,17,2015
1751,0,1,1,1121,011,27,23,2017
1153,0,1,1,1624,016,38,15,2014
1811,0,0,1,0424,004,10,46,2013
2825,0,1,1,0131,001,2,33,2016
1153,0,1,1,0713,007,16,67,2010
1360,0,1,1,1922,019,44,6,2018
1752,0,1,0,0823,008,15,66,2017
1753,0,1,0,0834,008,18,70,2016
1110,0,1,1,1622,016,45,11,2016
2825,0,1,1,1132,011,24,29,2017
4651,0,1,1,2232,022,9,73,2017
1120,0,1,1,0234,002,4,41,2017
1154,0,1,1,0834,008,18,70,2016
0820,0,1,1,0532,005,9,53,2018
4651,0,1,1,0532,005,9,53,2014
4651,0,1,1,0825,008,15,66,2017
1120,0,1,1,0235,002,5,41,2017
4651,0,1,1,0322,003,6,69,2017
4651,0,1,1,1021,010,24,29,2017
1153,0,1,1,1012,010,24,29,2016
0810,0,1,1,1223,012,27,28,2017
1153,0,1,1,0332,003,5,43,2014
1140,0,1,1,1923,019,46,6,2016
1110,0,1,1,1824,018,42,8,2017
1206,0,1,1,1654,016,41,76,2017
1152,0,1,1,0513,005,34,49,2017
1153,0,1,1,0424,004,10,46,2017
1153,0,1,1,1112,011,27,23,2015
0890,0,1,1,1414,014,35,22,2018
4651,0,1,1,1125,011,2,28,2017
1122,0,1,1,1413,014,26,22,2017
0460,0,1,1,0523,005,9,53,2017
0281,0,1,0,0614,006,18,71,2017
0486,0,1,0,0814,008,23,56,2017
0890,0,1,1,0111,001,42,32,2018
1153,0,1,1,2534,025,30,23,2009
2826,0,1,1,2011,020,40,4,2017
1122,0,1,1,1214,012,27,28,2017
1153,0,1,1,0424,004,10,46,2017
2826,0,1,1,1624,016,38,15,2017
0810,0,1,1,1651,016,41,76,2018
1153,0,1,1,0914,009,11,60,2017
1150,0,1,1,0622,006,21,44,2017
1120,0,1,1,1712,017,39,14,2017
1155,0,1,1,0834,008,13,70,2017
1153,0,1,1,0324,003,5,43,2017
0810,0,1,1,0624,006,8,44,2017
0265,0,1,1,0214,002,4,38,2012
1153,0,1,1,0511,005,8,50,2017
0820,0,1,1,0221,002,4,39,2017
2825,0,1,1,0235,002,5,41,2017
1153,0,1,1,1232,012,25,28,2017
1153,0,1,1,0211,002,3,35,2017
0460,0,1,1,0633,006,6,44,2017
051,0,1,1,0533,005,9,54,2018
5004,0,1,0,0822,008,14,63,2017
1153,0,1,1,0812,008,23,64,2017
1130,0,1,1,0432,004,10,52,2015
0890,0,1,1,1215,012,27,28,2017
1153,0,1,1,0334,003,7,43,2017
1150,0,1,1,2413,024,50,2,2017
0496,0,1,0,1822,018,27,8,2013
1150,0,1,1,2411,024,49,2,2017
0890,0,1,1,1932,019,32,7,2017
1153,0,1,1,2013,020,48,77,2015
1120,0,1,0,0412,004,8,48,2017
0620,0,1,1,0833,008,18,70,2017
1565,0,1,1,2212,022,19,75,2017
1153,0,1,1,0123,001,2,32,2016
1563,0,1,1,0915,009,11,60,2017
1153,0,1,1,1214,012,42,28,2017
0820,0,1,1,0815,008,23,56,2017
0890,0,1,1,1711,017,50,13,2015
2024,0,0,1,0322,003,6,69,2015
1153,0,1,1,2535,025,30,23,2016
2825,0,1,1,1631,016,36,17,2017
4650,0,0,1,1033,010,12,30,2016
1153,0,1,0,0725,007,15,67,2017
2022,0,0,1,0814,008,14,56,2015
1153,0,1,1,0814,008,23,56,2014
1153,0,1,1,0932,009,16,61,2017
1153,0,1,1,0831,008,15,66,2017
1153,0,1,1,0611,006,18,71,2017
1195,0,1,1,2431,024,49,1,2017
0620,0,1,1,0123,001,2,32,2017
1150,0,1,1,0623,006,6,69,2017
1110,0,1,1,1624,016,38,15,2017
1153,0,1,1,1113,011,28,25,2015
1110,0,1,1,1234,012,25,31,2017
0610,0,1,1,0223,002,4,38,2017
1153,0,1,1,1112,011,27,23,2013
1153,0,1,1,1222,012,27,27,2016
1150,0,1,1,0924,009,12,61,2017
1812,0,0,1,2031,020,47,4,2017
0820,0,1,1,0433,004,10,55,2018
2050,0,0,1,1222,012,27,27,2017
1562,0,1,1,0312,003,20,42,2016
2017,0,0,1,0311,003,20,40,2017
1812,0,0,1,0632,006,6,44,2017
2024,0,0,1,1122,011,27,23,2017
1153,0,1,1,0222,002,4,39,2017
0610,0,1,1,0334,003,7,43,2017
1150,0,1,1,1622,016,45,11,2017
0810,0,1,1,0122,001,42,32,2014
1153,0,1,1,0825,008,16,66,2006
1752,0,1,1,1634,016,38,15,2015
0820,0,1,1,1624,016,45,15,2018
0281,0,1,0,1921,019,32,5,2011
1154,0,1,1,0431,004,7,51,2017
1562,0,1,1,1524,015,37,25,2017
0890,0,1,1,0123,001,2,32,2017
0265,0,1,1,0823,008,23,66,2010
1154,0,1,1,2422,024,49,1,2009
1751,0,1,1,0432,004,10,52,2017
1153,0,1,1,0631,006,6,44,2017
0890,0,1,1,1912,019,47,3,2018
1153,0,1,1,0311,003,20,40,2017
1154,0,1,1,0323,003,6,69,2010
0620,0,0,1,2433,024,48,77,2017
1150,0,1,1,0421,004,7,43,2017
5000,0,1,1,0631,006,8,44,2017
1153,0,1,1,1831,018,42,8,2017
0910,0,1,1,0214,002,4,36,2018
1153,0,1,1,2232,022,34,73,2017
1153,0,1,1,0331,003,5,43,2016
1261,0,1,0,1411,014,35,21,2011
0620,0,1,0,2532,025,37,25,2017
1154,0,1,1,0321,003,20,42,2017
1153,0,1,1,0411,004,8,45,2016
2024,0,0,1,0714,007,15,67,2017
5007,0,1,1,2535,025,30,23,2016
0486,0,1,1,1214,012,27,28,2017
1153,0,1,1,0823,008,15,66,2017
1153,0,1,1,1022,010,24,29,2015
1752,0,1,1,2525,025,35,22,2006
0910,0,1,1,0812,008,13,64,2017
0486,0,1,0,0114,001,42,32,2016
1154,0,1,1,2423,024,49,1,2017
1754,0,1,1,0323,003,6,69,2017
0820,0,1,1,1912,019,47,6,2018
1153,0,1,1,1532,015,28,25,2016
1752,0,0,1,0823,008,13,65,2013
1153,0,1,1,0421,004,7,43,2014
1153,0,1,1,1614,016,36,76,2016
5007,0,1,1,2521,025,31,19,2016
1153,0,1,1,1133,011,24,27,2016
1821,0,0,1,1134,011,24,27,2015
1582,0,1,1,1624,016,38,15,2017
1153,0,1,1,0632,006,8,44,2018
2017,0,0,1,0825,008,15,66,2015
1540,0,0,1,1013,010,22,29,2017
2017,0,0,1,1112,011,27,23,2014
2015,0,0,1,1522,015,29,25,2014
2024,0,0,1,0533,005,9,54,2014
2014,0,0,1,1223,012,2,28,2014
0810,0,1,1,0311,003,20,40,2018
1154,0,1,1,0124,001,2,28,2017
1541,0,0,1,0332,003,5,43,2017
1130,0,1,1,2514,025,30,19,2017
0820,0,1,1,1223,012,2,28,2017
2093,0,0,1,1134,011,24,29,2017
1365,0,1,1,1411,014,1,21,2017
2820,0,1,0,2212,022,19,75,2017
2024,0,0,1,0935,009,3,37,2017
1812,0,0,1,1134,011,24,29,2017
1153,0,1,1,0212,002,4,36,2014
0870,0,1,1,0112,001,42,32,2018
1140,0,1,1,0812,008,23,64,2014
0810,0,0,1,1235,012,25,31,2017
0560,0,1,1,1212,012,32,24,2017
1153,0,1,1,1621,016,41,12,2016
0810,0,1,1,0114,001,42,32,2018
1154,0,1,1,0413,004,8,47,2018
2027,0,0,1,0434,004,10,51,2017
1153,0,1,1,0214,002,3,38,2010
1154,0,1,1,0624,006,6,44,2017
1130,0,1,1,0323,003,6,69,2017
1153,0,1,1,1512,015,29,25,2015
0870,0,1,1,1933,019,44,6,2018
1811,0,0,1,0814,008,23,56,2017
1153,0,1,1,0332,003,5,43,2012
1120,0,1,1,2022,020,48,77,2016
1310,0,1,1,0621,006,17,71,2017
0810,0,1,1,1712,017,40,13,2017
2093,0,0,1,1134,011,24,29,2017
0820,0,1,1,1915,019,46,3,2018
0820,0,1,1,0333,003,5,43,2017
2820,0,1,0,2423,024,49,1,2017
2826,0,1,1,1622,016,45,11,2017
1153,0,1,1,0611,006,21,71,2017
0460,0,1,1,1711,017,39,13,2017
0820,0,1,1,1033,010,12,30,2018
1153,0,1,1,0132,001,2,33,2016
1153,0,1,1,0214,002,4,36,2014
2825,0,1,0,1933,019,32,6,2017
1153,0,1,1,0621,006,17,69,2013
5110,0,0,1,1523,015,28,25,2017
0890,0,1,1,0323,003,6,69,2017
1120,0,1,1,2012,020,40,77,2017
1812,0,0,1,0332,003,5,43,2015
2027,0,0,1,0632,006,8,44,2015
1153,0,1,1,0831,008,15,66,2017
